case_id,trip_duration_days,miles_traveled,total_receipts_amount,predicted_output
0,3,191.0,21.87,438.4911425000055
1,1,81.0,3.93,166.5783800000037
2,3,204.0,16.76,429.3339050000114
3,1,64.0,22.47,178.08064500000216
4,3,204.0,22.19,447.1228500000038
5,1,51.0,17.84,150.32097999999598
6,3,207.0,18.16,436.0455600000111
7,1,182.0,11.75,224.58549250000829
8,1,164.0,9.59,218.2134150000098
9,2,109.0,14.74,286.4350399999985
10,1,110.0,9.81,188.99653500001156
11,1,50.0,0.27,170.83708250000498
12,2,41.0,2.06,257.4272125000024
13,3,143.0,24.16,418.3869850000106
14,2,53.0,2.24,266.1903200000025
15,3,205.0,1.96,418.61843000000925
16,3,163.0,15.86,394.2817850000171
17,3,38.0,1.85,304.8565725000105
18,3,182.0,2.42,391.6944000000142
19,3,144.0,9.52,366.0932475000123
20,2,192.0,13.65,339.1588150000082
21,1,29.0,17.29,172.85018749999898
22,1,167.0,1.14,231.67691750000864
23,2,30.0,6.32,230.89610250000052
24,3,160.0,24.82,431.569075000011
25,1,167.0,22.49,236.44291000000845
26,1,194.0,1.44,249.27307000000818
27,2,70.0,2.48,271.41803750000145
28,1,143.0,4.06,195.43237250000936
29,3,168.0,0.83,389.001175000015
30,2,141.0,9.16,304.9823400000104
31,2,165.0,9.62,325.9538275000116
32,2,162.0,5.18,326.3250550000125
33,1,147.0,7.96,190.03917750001156
34,2,45.0,13.79,234.24127999999558
35,2,53.0,17.66,250.13401499999594
36,2,179.0,19.26,354.2246725000099
37,1,41.0,17.06,165.16504499999814
38,3,133.0,14.89,369.3598975000119
39,2,164.0,22.83,350.37491500000834
40,1,34.0,19.68,187.59909499999995
41,1,158.0,23.46,232.86875750001184
42,2,50.0,24.81,296.8213074999994
43,3,45.0,8.01,283.4675125000014
44,1,32.0,2.19,170.47126250000463
45,1,32.0,21.24,195.87238750000108
46,3,187.0,15.92,404.50272750001596
47,1,129.0,15.66,194.79535250000842
48,3,41.0,12.47,287.27874749999984
49,2,102.0,15.32,265.6047124999928
50,3,154.0,6.9,375.78225000001567
51,3,79.0,17.07,351.479245000017
52,1,91.0,23.11,208.68418750000583
53,3,164.0,8.58,381.5179400000148
